group,group_id,trial,trial_id,treatment,treatment_id,zero,one,two,three,four,five,six
large,1,angel,1,treatment,1,9,19,41,39,45,27,50
large,1,angel,1,control,0,0,8,18,49,60,45,45
large,1,rescue,2,treatment,1,2,3,9,17,33,18,18
large,1,rescue,2,control,0,0,3,5,5,25,40,24
large,1,select,3,treatment,1,2,9,25,31,27,15,68
large,1,select,3,control,0,0,3,9,20,36,32,71
large,1,tension,4,treatment,1,5,5,11,18,24,15,46
large,1,tension,4,control,0,1,1,1,13,16,24,66
large,1,tesla,5,treatment,1,6,8,8,23,30,23,53
large,1,tesla,5,control,0,2,6,5,16,35,33,49
early,2,escape,6,treatment,1,25,34,30,26,21,11,16
early,2,escape,6,control,0,10,15,18,22,35,18,28
early,2,extend,7,treatment,1,9,9,7,6,1,0,3
early,2,extend,7,control,0,6,4,4,4,6,4,7
early,2,mrclean,8,treatment,1,7,21,49,42,51,14,49
early,2,mrclean,8,control,0,1,16,35,43,80,32,59
early,2,piste,9,treatment,1,5,9,3,4,4,1,7
early,2,piste,9,control,0,1,5,6,7,4,3,4
early,2,resilient,10,treatment,1,9,13,17,24,14,7,27
early,2,resilient,10,control,0,3,7,13,17,21,18,33
early,2,revascat,11,treatment,1,7,18,20,19,8,12,19
early,2,revascat,11,control,0,6,7,16,20,17,21,16
early,2,swift,12,treatment,1,17,25,17,12,15,3,9
early,2,swift,12,control,0,8,10,15,16,20,12,12
early,2,therapy,13,treatment,1,3,10,6,8,15,2,6
early,2,therapy,13,control,0,1,6,7,7,10,4,11
early,2,thrace,14,treatment,1,31,39,36,25,34,11,24
early,2,thrace,14,control,0,24,33,28,25,56,9,27
late,3,dawn,15,treatment,1,10,24,18,14,14,8,20
late,3,dawn,15,control,0,4,5,4,16,34,19,18
late,3,defuse3,16,treatment,1,9,15,17,14,17,7,13
late,3,defuse3,16,control,0,7,4,4,14,24,14,23
late,3,mrcleanlate,17,treatment,1,23,31,46,28,31,33,61
late,3,mrcleanlate,17,control,0,5,35,44,20,27,42,74
late,3,positive,18,treatment,1,4,4,1,0,1,1,1
late,3,positive,18,control,0,1,3,5,3,2,3,4
basilar,4,attention,19,treatment,1,11,34,29,29,11,27,84
basilar,4,attention,19,control,0,5,5,3,14,6,19,63
basilar,4,baoche,20,treatment,1,7,20,17,8,10,15,34
basilar,4,baoche,20,control,0,1,6,7,11,20,16,45
basilar,4,basics,21,treatment,1,8,19,27,14,10,17,59
basilar,4,basics,21,control,0,6,13,25,11,16,12,63
basilar,4,best,22,treatment,1,4,11,7,6,5,11,22
basilar,4,best,22,control,0,6,10,2,3,12,7,25
medium,5,escapemevo,23,treatment,1,45,61,32,46,28,9,34
medium,5,escapemevo,23,control,0,38,80,43,52,26,12,23
medium,5,distal,24,treatment,1,36,58,59,47,26,3,42
medium,5,distal,24,control,0,47,54,46,57,24,3,38
historical,6,ims3,25,treatment,1,53,69,55,71,64,20,83
historical,6,ims3,25,control,0,19,39,28,35,30,15,48
historical,6,synthesis,26,treatment,1,22,33,21,37,32,10,26
historical,6,synthesis,26,control,0,28,35,21,28,38,13,18
historical,6,mrrescue,27,treatment,1,1,3,3,13,18,13,12
historical,6,mrrescue,27,control,0,1,5,4,13,15,9,7